id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43382020,Dream House Suites - ST. Clair West 4F,345628448,Ludovic,,Humewood-Cedarvale,43.68693,-79.42234,Entire home/apt,79,29,2,2020-10-04,0.47,4,0
43387784,HighRise CN Tower View 1 Br in Entertainment Dist.,135718015,Ak,,Waterfront Communities-The Island,43.64958,-79.38756,Entire home/apt,160,28,3,2020-11-15,0.71,38,237
43388935,Pet Friendly Shared Condo,40193052,Anna,,Waterfront Communities-The Island,43.64922,-79.36585,Private room,70,1,0,,,1,71
43389846,Luxury King Unit Across from Drake's High School,36197897,Tammy,,Oakwood Village,43.69206,-79.43699,Entire home/apt,175,1,51,2020-12-06,8.27,1,136
43390250,DUNDAS SQUARE - Spacious Bunker - with 2 Desks,105618845,Rob And Lisa,,Moss Park,43.66038,-79.36793,Entire home/apt,81,28,4,2020-11-17,0.69,6,140
43390391,Precious Charming Suite. Patio w. Unblocked Views!,293274089,SillyBishop,,Waterfront Communities-The Island,43.64378,-79.3811,Entire home/apt,130,2,1,2020-07-26,0.21,56,0
43390936,Studio Condo in the heart of Downtown Toronto #2,342316738,Davar,,Church-Yonge Corridor,43.64959,-79.37685,Private room,99,30,0,,,26,354
43390961,Fully Furnished 1 Bedroom Condo with sofa bed #2,342316738,Davar,,Church-Yonge Corridor,43.64947,-79.37653,Entire home/apt,109,30,0,,,26,240
43391968,Enjoy the Summer in Our Beautiful 3 Bedroom Condo,250535526,Abbas,,Kensington-Chinatown,43.65147,-79.38832,Entire home/apt,200,15,0,,,3,90
43395617,Brand new condo only female,286982749,Jane,,Church-Yonge Corridor,43.65901,-79.37638,Private room,64,1,5,2020-10-31,0.74,2,160
43395950,A Cottage Style home in the heart of city,167630670,Tina,,Hillcrest Village,43.79209,-79.3631,Entire home/apt,279,30,4,2020-08-19,0.63,1,0
43396582,Dream House Suites - ST. Clair West 2F,345628448,Ludovic,,Humewood-Cedarvale,43.68586,-79.42296,Entire home/apt,79,29,2,2020-10-16,0.64,4,0
43397079,54TH FLOOR! Priceless CN Tower View 1 Bedroom Unit,232423857,Leah,,Church-Yonge Corridor,43.65419,-79.37865,Entire home/apt,115,29,7,2020-10-09,1.68,1,353
43397242,Dream House Suites - ST. Clair West 1F,345628448,Ludovic,,Humewood-Cedarvale,43.68574,-79.42103,Entire home/apt,69,29,4,2020-12-01,0.59,4,0
43398002,New 1 Bedroom Unit close to Science Centre,40406859,Ed & Jean,,Flemingdon Park,43.72062,-79.33694,Entire home/apt,72,28,0,,,6,0
43398079,Your Traveling's Home,39308212,Hugo,,Agincourt North,43.80131,-79.26134,Private room,90,1,0,,,2,365
43398455,Ent. District- 2BR + 1.5 BA + Free Parking!!!,234302442,Roscoe,,Waterfront Communities-The Island,43.64044,-79.38282,Entire home/apt,114,1,1,2020-06-04,0.16,6,58
43402563,Yonge Sheppard clean private room,291118994,Ronald,,Willowdale East,43.76264,-79.40552,Private room,50,29,0,,,1,362
